SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
19598,.,Bad Vermilion,.,2017,.,SNAIL,1,.,.,1.8,VISCERA,V,0.78,-15.11,4.12,Planorbidae
19599,.,Bad Vermilion,.,2017,.,SNAIL,1,.,.,2.4,VISCERA,V,0.48,-17.63,4.3,Planorbidae
19600,.,Bad Vermilion,.,2017,.,SNAIL,1,.,.,1,VISCERA,V,0.64,-15.12,4.07,Planorbidae
19601,.,Bad Vermilion,.,2017,.,SNAIL,1,.,.,1.2,VISCERA,V,0.64,-19.72,4.15,Planorbidae
19602,.,Bad Vermilion,.,2017,.,SNAIL,1,.,.,3.3,VISCERA,V,0.97,-18.53,4.1,Lymnaeidae
5095,03-00-001,Bigwood,.,2010,.,LT,1,.,340,315,MUSCLE,V,9.28,-27.2,3.23,.
5096,07-00-001,Bigwood,.,2010,.,LT,1,.,468,875,MUSCLE,V,10.08,-27.68,3.22,.
5097,07-00-002,Bigwood,.,2010,.,LT,1,.,432,650,MUSCLE,V,10.06,-27.54,3.24,.
5098,19-00-002,Bigwood,.,2010,.,LT,1,.,222,92,MUSCLE,V,9.67,-27.37,3.31,.
5099,23-00-001,Bigwood,.,2010,.,LT,1,.,314,240,MUSCLE,V,9.29,-27.73,3.33,.
5100,23-00-002,Bigwood,.,2010,.,LT,1,.,446,760,MUSCLE,V,9.68,-28.8,3.41,.
5101,23-00-003,Bigwood,.,2010,.,LT,1,.,316,270,MUSCLE,V,9.43,-26.84,3.26,.
5102,26-00-007,Bigwood,.,2010,.,LT,1,.,366,400,MUSCLE,V,9.5,-27.41,3.23,.
5103,26-00-008,Bigwood,.,2010,.,LT,1,.,414,580,MUSCLE,V,10.36,-27.9,3.44,.
8094,1,Bigwood,.,2011,.,LT,1,356,403,511.7,MUSCLE,V,10.16,-27.96,3.53,.
8095,35,Bigwood,.,2011,.,LT,1,398,446,724.4,MUSCLE,V,10.19,-27.14,3.32,.
8096,36,Bigwood,.,2011,.,LT,1,406,454,832,MUSCLE,V,10.47,-28.12,3.43,.
8097,38,Bigwood,.,2011,.,LT,1,214,239,105.9,MUSCLE,V,8.8,-32.54,3.38,.
8098,39,Bigwood,.,2011,.,LT,1,378,423,642.6,MUSCLE,V,10.65,-27.85,3.72,.
8608,.,Bigwood,.,2011,.,HEPTAGEN,.,.,.,0.5,BODY,V,1.91,-21.35,5.27,.
8609,.,Bigwood,.,2011,.,HEPTAGEN,.,.,.,0.3,BODY,V,1.86,-20.91,4.78,.
8610,.,Bigwood,.,2011,.,HEPTAGEN,.,.,.,0.1,BODY,V,1.78,-20.98,5.25,.
24592,01-00-000-001,Chiniguchi,.,2021,30-Aug,LT,1,.,697,2900,MUSCLE,V,9.62,-26.19,3.18,.
24593,14-00-000-001,Chiniguchi,.,2021,30-Aug,LT,1,.,510,1265,MUSCLE,V,6.99,-30.51,3.5,.
24594,14-00-000-002,Chiniguchi,.,2021,30-Aug,LT,1,.,525,1080,MUSCLE,V,8.13,-26.82,3.2,.
24595,24-00-000-001,Chiniguchi,.,2021,30-Aug,LT,1,.,654,2440,MUSCLE,V,9.59,-26.78,3.4,.
24992,1,Chiniguchi,.,2022,13-Jul,LT,1,438,485,800,MUSCLE,V,7.21,-27.09,3.21,.
24993,2,Chiniguchi,.,2022,13-Jul,LT,1,461,515,1180,MUSCLE,V,7.21,-27.08,3.22,.
24994,4,Chiniguchi,.,2022,13-Jul,LT,1,572,630,2300,MUSCLE,V,9.47,-28.12,3.46,.
24995,5,Chiniguchi,.,2022,13-Jul,LT,1,493,541,1460,MUSCLE,V,8.75,-29.42,3.71,.
24996,32,Chiniguchi,.,2022,13-Jul,LT,1,495,543,1316,MUSCLE,V,8.3,-27.99,3.61,.
24997,34,Chiniguchi,.,2022,13-Jul,LT,1,502,550,1584,MUSCLE,V,8.5,-27.09,3.42,.
24998,35,Chiniguchi,.,2022,13-Jul,LT,1,519,579,1771,MUSCLE,V,8.94,-29.93,3.6,.
24999,43,Chiniguchi,.,2022,13-Jul,LT,1,453,506,1224,MUSCLE,V,8.83,-28.51,3.37,.
25104,.,Chiniguchi,.,2022,13-Jul,AMPHIPOD,50,.,.,.,BODY,V,0.16,-25.62,4.87,.
25332,.,Chiniguchi,.,2022,13-Jul,CRAYFISH,1,.,.,1.82,MUSCLE,V,4.64,-29.59,4.49,.
25333,.,Chiniguchi,.,2022,13-Jul,CRAYFISH,1,.,.,3.66,MUSCLE,V,4.76,-26.83,3.31,.
22322,6,Colin Scott,.,2020,20-Aug,LT,1,463,509,1280,MUSCLE,V,7.64,-31.47,3.5,.
22323,12,Colin Scott,.,2020,20-Aug,LT,1,448,488,1120,MUSCLE,V,7.84,-30.5,3.64,.
22324,14,Colin Scott,.,2020,20-Aug,LT,1,476,520,1460,MUSCLE,V,8.12,-28.51,3.35,clipped (stocked)
22325,21,Colin Scott,.,2020,20-Aug,LT,1,524,575,2020,MUSCLE,V,9.61,-29.89,3.75,clipped (stocked)
22326,22,Colin Scott,.,2020,20-Aug,LT,1,408,447,920,MUSCLE,V,6.88,-30.72,3.88,.
22327,23,Colin Scott,.,2020,20-Aug,LT,1,436,479,1000,MUSCLE,V,7.87,-32.06,3.85,.
22328,25,Colin Scott,.,2020,20-Aug,LT,1,271,297,200,MUSCLE,V,8.28,-31.78,3.39,.
22329,34,Colin Scott,.,2020,20-Aug,LT,1,213,235,90,MUSCLE,V,7.43,-29.97,3.29,.
22330,38,Colin Scott,.,2020,20-Aug,LT,1,318,352,285,MUSCLE,V,7.97,-31.98,3.27,.
22331,40,Colin Scott,.,2020,20-Aug,LT,1,247,274,122,MUSCLE,V,7.14,-29.39,3.33,.
22535,5,Colin Scott,.,2020,20-Aug,LT,1,146,160,28.6,MUSCLE,V,6.82,-28.16,3.23,.
22536,8,Colin Scott,.,2020,20-Aug,LT,1,147,161,33.3,MUSCLE,V,6.9,-27.62,3.26,.
22537,9,Colin Scott,.,2020,20-Aug,LT,1,145,158,34,MUSCLE,V,6.39,-27.35,3.26,.
22538,13,Colin Scott,.,2020,20-Aug,LT,1,186,204,63.6,MUSCLE,V,7.87,-29.29,3.24,.
22539,19,Colin Scott,.,2020,20-Aug,LT,1,195,216,73.9,MUSCLE,V,7.79,-27.92,3.2,.
23322,.,Colin Scott,.,2020,19-Aug,CRAYFISH,1,.,.,12.76,MUSCLE,V,6.4,-28.23,3.63,missing one claw
23323,.,Colin Scott,.,2020,19-Aug,CRAYFISH,1,.,.,12.42,MUSCLE,V,5.21,-27.38,3.32,.
23324,.,Colin Scott,.,2020,19-Aug,CRAYFISH,1,.,.,19.8,MUSCLE,V,7.06,-28.71,3.85,.
23478,.,Cucumber,.,2021,19-Aug,SNAIL,1,.,.,6.33,VISCERA,V,0.53,-25.61,4.27,Lymaeid
23479,.,Cucumber,.,2021,19-Aug,SNAIL,8,.,.,0.43,VISCERA,V,-0.55,-16.85,4.83,Physid
23480,.,Cucumber,.,2021,19-Aug,SNAIL,8,.,.,0.31,VISCERA,V,-0.3,-19.3,4.82,Physid
23481,.,Cucumber,.,2021,19-Aug,SNAIL,18,.,.,0.21,VISCERA,V,-0.38,-18.26,4.86,Physid
23482,.,Cucumber,.,2021,06-Aug,CLAM,1,.,92,33.4,MUSCLE,V,0.6,-31.24,3.9,.
23483,.,Cucumber,.,2021,13-Aug,CRAYFISH,5,.,.,1.18,MUSCLE,V,2.96,-22.14,3.43,.
23484,.,Cucumber,.,2021,13-Aug,CRAYFISH,1,.,.,2.01,MUSCLE,V,2.48,-23.16,3.38,.
23485,.,Cucumber,.,2021,13-Aug,CRAYFISH,1,.,.,2.37,MUSCLE,V,2.47,-21.69,3.33,.
23486,.,Cucumber,.,2021,13-Aug,CRAYFISH,1,.,.,3.28,MUSCLE,V,3.76,-22.97,3.39,.
23487,.,Cucumber,.,2021,13-Aug,CRAYFISH,1,.,.,3.4,MUSCLE,V,2.91,-24.66,3.42,.
23488,.,Cucumber,.,2021,13-Aug,CRAYFISH,1,.,.,3.79,MUSCLE,V,2.54,-24.87,3.32,.
23489,.,Cucumber,.,2021,13-Aug,CRAYFISH,1,.,.,9.53,MUSCLE,V,2.95,-25.07,3.77,.
23490,.,Cucumber,.,2021,13-Aug,CRAYFISH,1,.,.,21.26,MUSCLE,V,4.81,-25.66,3.86,.
23491,.,Cucumber,.,2021,05-Aug,LT,1,.,165,45.65,MUSCLE,V,7.66,-31.42,3.49,.
23779,1,Cucumber,.,2021,05-Aug,LT,1,621,672,2750,MUSCLE,V,8.95,-27.18,4.28,.
23780,38,Cucumber,.,2021,05-Aug,LT,1,328,354,375,MUSCLE,V,7.22,-30.5,3.33,.
23781,40,Cucumber,.,2021,05-Aug,LT,1,369,400,590,MUSCLE,V,7.39,-30.07,3.44,.
23782,77,Cucumber,.,2021,07-Aug,LT,1,515,540,1300,MUSCLE,V,8.69,-29.91,3.69,.
23783,78,Cucumber,.,2021,07-Aug,LT,1,735,775,4250,MUSCLE,V,10.94,-27.37,3.73,.
23784,79,Cucumber,.,2021,07-Aug,LT,1,597,619,2000,MUSCLE,V,10.3,-27.73,3.33,.
23785,83,Cucumber,.,2021,07-Aug,LT,1,464,488,950,MUSCLE,V,7.75,-29.49,3.48,.
23786,111,Cucumber,.,2021,08-Aug,LT,1,468,507,1000,MUSCLE,V,8.08,-28.56,3.23,.
23787,112,Cucumber,.,2021,08-Aug,LT,1,475,520,1090,MUSCLE,V,7.96,-28.68,3.51,.
23788,113,Cucumber,.,2021,08-Aug,LT,1,400,440,710,MUSCLE,V,7.47,-29.72,3.4,.
23950,.,Cucumber,.,2021,06-Aug,HEPTAGEN,.,.,.,.,BODY,V,-0.45,-22.48,5.44,.
23951,.,Cucumber,.,2021,06-Aug,AMPHIPOD,.,.,.,.,BODY,V,1.41,-31.11,5.03,.
19952,30,Deer,McIntosh-Bay,2018,18-Sep,LT,1,580,642,2300,MUSCLE,V,10.61,-28.06,3.95,.
19953,31,Deer,McIntosh-Bay,2018,18-Sep,LT,1,505,565,1510,MUSCLE,V,10.84,-24.85,3.42,.
19954,49,Deer,McIntosh-Bay,2018,18-Sep,LT,1,642,704,3325,MUSCLE,V,11.6,-28.17,4.04,.
19955,50,Deer,McIntosh-Bay,2018,18-Sep,LT,1,671,730,3825,MUSCLE,V,10.45,-27.82,4.38,.
19956,51,Deer,McIntosh-Bay,2018,18-Sep,LT,1,599,660,2650,MUSCLE,V,11.17,-27.65,3.88,.
19957,54,Deer,McIntosh-Bay,2018,18-Sep,LT,1,659,725,3950,MUSCLE,V,11.58,-28.15,4.24,.
19958,119,Deer,West-End,2018,18-Sep,LT,1,707,789,5650,MUSCLE,V,11.89,-30.74,5.14,.
19959,123,Deer,West-End,2018,18-Sep,LT,1,716,780,4550,MUSCLE,V,11.29,-29.07,4.78,.
19960,134,Deer,West-End,2018,18-Sep,LT,1,304,338,268,MUSCLE,V,11.09,-27.62,3.18,.
19961,138,Deer,West-End,2018,18-Sep,LT,1,351,394,445,MUSCLE,V,11.34,-27.24,3.26,.
19962,141,Deer,West-End,2018,18-Sep,LT,1,284,318,220,MUSCLE,V,10.71,-28,3.25,.
19963,142,Deer,West-End,2018,18-Sep,LT,1,265,295,159,MUSCLE,V,11.03,-28.24,3.26,.
