WATERBODY_LID,FN2_WBY,WATERBODY_NAME,Type,UTM_DATUM,UTM_ZONE,UTM_NORTHING,UTM_EASTING,LAT,LON,LATITUDE,LONGITUDE,District,FMZ,REGION,SRFAREA,SECCHI,DEPMN,DEPMAX,MEI,TDS,GDD_90_04,Primary_Watershed,Secondary_Watershed,Tertiary_Watershed,Alternate_Name
15-4950-55030,5QD0214,Eagle-1,Lake,NAD27,15,5502990,494990,494053,930410,49.68,-93.07,,5,NWR,27691.00,2.90,6.8,33.5,5.55,39.3,1644.00,,,,
15-5492-60415,4AE2502,Echoing,Lake,NAD27,15,6041491,549213,543114,921423,54.52,-92.24,,2,NWR,5326.60,6.10,8.7,30.1,17.8,.,1078.53,,,,
15-3599-56139,5RA0103,Eden,Lake,NAD27,15,5613888,359920,503943,945855,50.66,-94.98,14D,4,NWR,488.50,4.70,8.1,24.6,5.1,.,1619.00,5,05R,05RA,
17-3445-51613,2CC0512,Endikai,Lake,NAD27,17,5161326,344487,463522,830148,46.59,-83.03,,10,NER,591.70,5.80,29,48.2,2.1,.,1694.40,,,,
17-5335-52315,2JD0325,Florence,Lake,NAD27,17,5231464,533472,471416,803328,47.24,-80.56,,11,NER,1006.50,15.60,7.5,38.1,4.5,,1670.47,,,,
17-4429-51586,2CE0504,Fox,Lake,NAD27,17,5158575,442875,463449,814444,46.58,-81.75,,10,NER,471.10,4.40,10.7,42.4,4.5,.,1705.40,2,02C,02CE,MacAuley
17-4690-50971,2CF0314,George,Lake,NAD27,17,5097086,469042,460143,812400,46.03,-81.40,,10,NER,147.90,9.00,18.6,36.6,1.3,,1730.27,,,,
17-2842-53251,2BD1008,Goldie,Lake,NAD27,17,5325109,284194,480241,835344,48.04,-83.90,21D,7,NER,1227.00,5.00,3.2,22,7.4,.,1397.93,,,,
17-4723-51114,2CF0509,Great Mountain,Lake,NAD27,17,5111391,472310,460927,812131,46.16,-81.36,,10,NER,191.50,8.60,9.8,37.5,2.7,,1730.20,,,,
17-5804-52398,2JD0140,Gullrock,Lake,NAD27,17,5239758,580355,471830,795613,47.31,-79.94,,11,NER,229.40,7.00,4.1,12.7,11.9,,1650.27,,,,
16-6538-60420,4ED1802,Hawley,Lake,NAD27,16,6041966,653767,543014,843731,54.50,-84.63,26D,1,NER,1234.90,5.10,21.4,54,6.3,.,898.27,4,04E,04ED,
17-4006-49280,2C,Huron,Lake,NAD27,17,4927952,400625,443000,821500,44.50,-82.25,,13,GL,4165900.00,,61,217.6,,,1957.600,,,,
17-4826-51036,2CF0318,Johnnie,Lake,NAD27,17,5103607,482605,460516,811330,46.09,-81.22,,10,NER,395.40,9.20,7.9,33.6,3.7,,1736.60,,,,
