"","Lake_Name","Trophic_Category","Taxonomic_ID_Code","d15N","d13C","CN_Ratio","d13C_Cor","SI_ID","Trophic_Group"
"1","Muskoka","INVERT","amphipod, isopod (mixed)",3.98139214416566,-26.8054619723092,"5.11633419165227",-25.0602911225735,"MA1",NA
"2","Muskoka","INVERT","crayfish",5.74567156770111,-25.1620294618612,"5.08442708628452",-23.4484466464395,"MA2","Invert"
"3","Muskoka","INVERT","dragonfly",6.47040765016786,-25.3399851371304,"4.02563374796037",-24.6746077266496,"MA3","Invert"
"4","Muskoka","INVERT","dragonfly",6.36909907499397,-25.4003829581758,"4.05593338437645",-24.7050089076431,"MA4","Invert"
"5","Muskoka","MUSSEL","mussel",3.7043097710105,-29.69479394247,"3.9817862847603",-29.0728255205573,"MA16","Mussel"
"6","Muskoka","MUSSEL","mussel",4.19712789355772,-28.7766608030691,"4.26903557091951",-27.8703155878588,"MA17","Mussel"
"7","Muskoka","SNAIL","snail",4.61724771245179,-24.4410908694348,"4.20280586968227",-23.6003130584494,"MA23","Snail"
"8","Muskoka","SNAIL","snail",4.4526846861128,-24.0754398933795,"4.07602185754075",-23.3601782544142,"MA24","Snail"
"9","Muskoka","SNAIL","snail",3.72147051534893,-13.0356185928348,"4.08296158432917",-12.3134866243489,"MA25","Snail"
"10","Muskoka","ZOOPS","zooplankton",5.81605780953751,-30.56712865724,"5.43686627069839",-28.5046310492486,"MA26","Zoops"
"11","Muskoka","PRED","81",15.7335427329759,-27.8627362398633,"3.61765846326516",-27.6012543612308,"MA010","LakeTrout"
"12","Muskoka","PRED","81",16.3266625573978,-26.3800369839065,"3.15759883526547",-26.5740141369937,"MA005","LakeTrout"
"13","Muskoka","PRED","81",16.7147561117704,-27.7192620601882,"3.82060583052327",-27.2568622879702,"MA001","LakeTrout"
"14","Muskoka","PRED","81",16.7877086435734,-28.4480280528219,"4.28217289102829",-27.5286768907039,"MA007","LakeTrout"
"15","Muskoka","PRED","81",16.6094059578827,-26.9274347724265,"3.25557563865559",-27.0244148901575,"MA002","LakeTrout"
"16","Muskoka","PRED","81",16.4287213530856,-26.4916920310797,"3.27961033734739",-26.5648777971058,"MA016","LakeTrout"
"17","Muskoka","PRED","81",16.8082764642965,-26.4969978084626,"3.33079071419422",-26.5195150014103,"MA003","LakeTrout"
"18","Muskoka","PRED","81",16.7307679670991,-27.2077190179765,"3.44676946602663",-27.1154172466101,"MA009","LakeTrout"
"19","Muskoka","PRED","81",16.5660905595212,-27.3656562150953,"3.42487504294401",-27.2950299225807,"MA015","LakeTrout"
"20","Muskoka","PRED","81",16.7851581936307,-26.7649503523334,"3.31201380571009",-26.8060566846804,"MA004","LakeTrout"
