SIA SAM,FISH,WBY,REGION,YEAR,DAY,TAXON,COMP,FLEN,TLEN,RWT,Tissue,Check,Del 15N,Del 13C,C/N,Comments
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2141,.,Endikai,.,2008,.,CISCO,1,69,.,3.20,MUSCLE,V,4.99,-29.08,3.71,.
2142,.,Endikai,.,2008,.,CISCO,1,60,.,2.20,MUSCLE,V,4.77,-28.93,3.65,.
2143,.,Endikai,.,2008,.,CISCO,1,59,.,2.00,MUSCLE,V,4.96,-28.81,3.53,.
22022,.,George,.,2019,10-Jul,CISCO,1,.,190,59.80,MUSCLE,V,8.00,-29.35,3.24,.
22023,.,George,.,2019,10-Jul,CISCO,1,198,207,59.60,MUSCLE,V,7.82,-29.69,3.20,.
22024,.,George,.,2019,10-Jul,CISCO,1,169,176,40.40,MUSCLE,V,8.78,-29.78,3.27,.
22025,.,George,.,2019,10-Jul,CISCO,1,136,149,24.40,MUSCLE,V,6.55,-29.01,3.30,.
22026,.,George,.,2019,10-Jul,CISCO,1,128,135,18.30,MUSCLE,V,6.71,-28.98,3.21,.
22027,.,George,.,2019,10-Jul,CISCO,1,135,144,22.50,MUSCLE,V,6.25,-28.68,3.28,.
22028,.,George,.,2019,10-Jul,CISCO,1,.,55,1.80,MUSCLE,V,5.55,-29.03,3.30,.
22029,.,George,.,2019,10-Jul,CISCO,1,.,58,1.20,MUSCLE,V,5.21,-29.06,3.33,.
22054,.,Johnnie,.,2019,17-Jul,CISCO,1,187,195,62.40,MUSCLE,V,7.43,-29.11,3.22,.
22055,.,Johnnie,.,2019,17-Jul,CISCO,1,190,209,59.20,MUSCLE,V,7.96,-28.32,3.17,.
22056,.,Johnnie,.,2019,17-Jul,CISCO,1,165,176,36.10,MUSCLE,V,9.28,-32.05,3.34,.
22057,.,Johnnie,.,2019,17-Jul,CISCO,1,145,160,32.50,MUSCLE,V,7.49,-30.11,3.62,.
22058,.,Johnnie,.,2019,17-Jul,CISCO,1,150,163,21.00,MUSCLE,V,7.66,-30.32,3.66,.
22059,.,Johnnie,.,2019,17-Jul,CISCO,1,130,.,20.90,MUSCLE,V,6.38,-29.64,3.30,.
22060,.,Johnnie,.,2019,17-Jul,CISCO,1,128,139,20.50,MUSCLE,V,6.32,-30.16,3.53,.
25499,.,Johnnie,.,2022,13-Sep,CISCO,1,.,240,116.00,MUSCLE,V,8.75,-29.96,3.17,.
23586,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,80,.,MUSCLE,V,5.16,-30.79,3.30,.
23587,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,95,.,MUSCLE,V,5.46,-31.29,3.42,.
23588,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,112,9.53,MUSCLE,V,6.87,-30.32,3.25,.
23589,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,130,14.95,MUSCLE,V,5.95,-31.91,3.53,.
23590,.,Manitou-2,.,2021,17-Aug,CISCO,1,.,188,52.50,MUSCLE,V,7.69,-30.67,3.56,.
25362,.,Manitou-2,.,2022,20-Jul,CISCO,1,.,103,6.87,MUSCLE,V,7.08,-31.27,3.42,.
