"","Lake_Name","Trophic_Category","Taxonomic_ID_Code","d15N","d13C","d13C_Cor","SI_ID","Trophic_Group"
"28","Catchacoma","INVERT","insect",2.4376014522979,"-26.7640779563631",-25.8062301619115,"C052","Invert"
"29","Catchacoma","MUSSELS","mussel",2.73047817102248,"-29.4368444602452",-28.7981900442512,"C025","Mussel"
"30","Catchacoma","MUSSELS","mussel",2.20898876297124,"-30.6426558474518",-29.263917477481,"C026","Mussel"
"31","Catchacoma","MUSSELS","mussel",2.95968063077401,"-29.3577099967698",-28.7925270771556,"C027","Mussel"
"32","Catchacoma","MUSSELS","mussel",2.22269149235371,"-30.4859213239634",-28.9771652458426,"C028","Mussel"
"33","Catchacoma","MUSSELS","mussel",3.1888906860765,"-30.4923003668485",-29.2347151665949,"C029","Mussel"
"34","Catchacoma","MUSSELS","mussel",2.21450026521808,"-30.2034595751632",-28.9055358904611,"C030","Mussel"
"35","Catchacoma","MUSSELS","mussel",2.60460160401424,"-30.1965353096091",-29.3055113277104,"C031","Mussel"
"36","Catchacoma","MUSSELS","mussel",2.02049556201139,"-31.069981950219",-29.277118817528,"C032","Mussel"
"37","Catchacoma","MUSSELS","mussel",2.10527191836233,"-30.3914039259173",-29.2290773589152,"C033","Mussel"
"38","Catchacoma","MUSSELS","mussel",2.6829593863911,"-30.2697346883239",-29.0977591648446,"C034","Mussel"
"39","Catchacoma","SNAIL","snail",2.19972148140563,"-25.2901985741335",-24.5276549484639,"C055","Snail"
"40","Catchacoma","SNAIL","snail",1.95073817993727,"-24.6027179226908",-23.8043506500518,"C056","Snail"
"41","Catchacoma","ZOOPS","zooplankton",3.12377871740248,"-32.6289308806847",-30.2025361762509,"C054","Zoops"
"42","Catchacoma","PRED","81",11.703682830661,"-25.6383902134253",-25.1269426383374,"C002","LakeTrout"
"43","Catchacoma","PRED","81",10.1877562926453,"-29.446661420858049",-29.4909877498795,"C003","LakeTrout"
"44","Catchacoma","PRED","81",10.8756417524549,"-28.724634288966399",-28.7851324495987,"C057","LakeTrout"
"45","Catchacoma","PRED","81",12.7399024343595,"-27.688961998231999",-27.8581266546455,"C058","LakeTrout"
"46","Catchacoma","PRED","81",13.514654278787,"-27.499039285891001",-27.5769973708137,"C059","LakeTrout"
"47","Catchacoma","PRED","81",10.9611552270142,"-29.0016049111304",-29.0817975800813,"C060","LakeTrout"
"48","Catchacoma","PRED","81",11.136040982595,"-28.681110334054999",-28.8549606459943,"C061","LakeTrout"
