"","Response","Term","df","Estimate","Std_Error","F","Adj_R2","p"
"1","mean TP","log(SDI_mean)","32","0.01","0.111","0.094","-0.031","0.926"
"2","mean PNC (logit)","log(SDI_mean)","32","0.17","0.289","0.588","-0.02","0.561"
"3","dTP (log)","log(SDI)","32","0.31","0.161","1.923","0.076","0.063"
"4","dPNC (log)","log(SDI)","32","0.054","0.206","0.263","-0.029","0.794"
"5","SEAc (log)","log(SDI)","32","0.268","0.286","0.937","-0.004","0.356"
"6","SDNND (log)","log(SDI)","32","0.16","0.239","0.672","-0.017","0.507"
